# timestamp tx ty tz qx qy qz qw
1305031453.359684 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.391690 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.423683 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.459685 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.491698 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.523684 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.559753 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.591640 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.627706 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.659600 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.691678 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.727652 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.759694 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.791716 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.827773 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.859705 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.891710 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.927723 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.959641 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.991624 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.027662 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.059654 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.091651 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.127701 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.159672 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.191658 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.227671 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.259627 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.291639 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.327699 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.359636 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.391677 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.427465 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.459913 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.491617 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.527700 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.559575 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.591635 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.627580 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.659528 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.691884 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.727659 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.759732 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.791641 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.827570 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.859620 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.891764 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.927567 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.959648 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031454.991937 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.027799 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.059636 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.091700 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.127695 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.159720 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.191655 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.227581 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.259631 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.291831 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.327766 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.359630 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.391665 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.427642 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.459589 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.491637 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.527610 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.559669 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.591645 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.627617 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.659615 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.691605 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.727628 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.759683 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.791666 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.827590 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.859526 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.891657 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.927955 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.959716 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031455.991694 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031456.027770 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031456.059713 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031456.091707 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031456.127645 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031456.159731 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031456.191658 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
